COD_MUNICIPIO_A,COD_MUNICIPIO_IBGE,MUNICIPIO_A,MUNICIPIO_IBGE,UF,CODE
105,1200104,BRASILÉIA,Brasiléia,AC,12
107,1200203,CRUZEIRO DO SUL,Cruzeiro do Sul,AC,12
109,1200336,MÂNCIO LIMA,Mâncio Lima,AC,12
113,1200302,FEIJÓ,Feijó,AC,12
139,1200401,RIO BRANCO,Rio Branco,AC,12
145,1200500,SENA MADUREIRA,Sena Madureira,AC,12
147,1200609,TARAUACÁ,Tarauacá,AC,12
149,1200708,XAPURI,Xapuri,AC,12
151,1200385,PLÁCIDO DE CASTRO,Plácido de Castro,AC,12
153,1200450,SENADOR GUIOMARD,Senador Guiomard,AC,12
155,1200344,MANOEL URBANO,Manoel Urbano,AC,12
157,1200054,ASSIS BRASIL,Assis Brasil,AC,12
643,1200013,ACRELÂNDIA,Acrelândia,AC,12
645,1200138,BUJARI,Bujari,AC,12
647,1200179,CAPIXABA,Capixaba,AC,12
649,1200807,PORTO ACRE,Porto Acre,AC,12
651,1200252,EPITACIOLÂNDIA,Epitaciolândia,AC,12
653,1200328,JORDÃO,Jordão,AC,12
655,1200351,MARECHAL THAUMATURGO,Marechal Thaumaturgo,AC,12
657,1200393,PORTO WALTER,Porto Walter,AC,12
659,1200427,RODRIGUES ALVES,Rodrigues Alves,AC,12
661,1200435,SANTA ROSA DO PURUS,Santa Rosa do Purus,AC,12
560,2701357,CAMPESTRE,Campestre,AL,27
562,2703759,JEQUIÁ DA PRAIA,Jequiá da Praia,AL,27
971,2709152,TEOTÔNIO VILELA,Teotônio Vilela,AL,27
2641,2706448,PARIPUEIRA,Paripueira,AL,27
2643,2702553,ESTRELA DE ALAGOAS,Estrela de Alagoas,AL,27
2645,2706422,PARICONHA,Pariconha,AL,27
2701,2700102,ÁGUA BRANCA,Água Branca,AL,27
2703,2700201,ANADIA,Anadia,AL,27
2705,2700300,ARAPIRACA,Arapiraca,AL,27
2707,2700409,ATALAIA,Atalaia,AL,27
2709,2700508,BARRA DE SANTO ANTÔNIO,Barra de Santo Antônio,AL,27
2711,2700607,BARRA DE SÃO MIGUEL,Barra de São Miguel,AL,27
2713,2700706,BATALHA,Batalha,AL,27
2715,2700805,BELÉM,Belém,AL,27
2717,2700904,BELO MONTE,Belo Monte,AL,27
2719,2701001,BOCA DA MATA,Boca da Mata,AL,27
2721,2701100,BRANQUINHA,Branquinha,AL,27
2723,2701209,CACIMBINHAS,Cacimbinhas,AL,27
2725,2701308,CAJUEIRO,Cajueiro,AL,27
2727,2701407,CAMPO ALEGRE,Campo Alegre,AL,27
2729,2701506,CAMPO GRANDE,Campo Grande,AL,27
2731,2701605,CANAPI,Canapi,AL,27
2733,2701704,CAPELA,Capela,AL,27
2735,2701803,CARNEIROS,Carneiros,AL,27
2737,2701902,CHÃ PRETA,Chã Preta,AL,27
2739,2702009,COITÉ DO NÓIA,Coité do Nóia,AL,27
2741,2702108,COLÔNIA LEOPOLDINA,Colônia Leopoldina,AL,27
2743,2702207,COQUEIRO SECO,Coqueiro Seco,AL,27
2745,2702306,CORURIPE,Coruripe,AL,27
2747,2702405,DELMIRO GOUVEIA,Delmiro Gouveia,AL,27
2749,2702504,DOIS RIACHOS,Dois Riachos,AL,27
2751,2702603,FEIRA GRANDE,Feira Grande,AL,27
2753,2702702,FELIZ DESERTO,Feliz Deserto,AL,27
2755,2702801,FLEXEIRAS,Flexeiras,AL,27
2757,2702900,GIRAU DO PONCIANO,Girau do Ponciano,AL,27
2759,2703007,IBATEGUARA,Ibateguara,AL,27
2761,2703106,IGACI,Igaci,AL,27
2763,2703205,IGREJA NOVA,Igreja Nova,AL,27
2765,2703304,INHAPI,Inhapi,AL,27
2767,2703403,JACARÉ DOS HOMENS,Jacaré dos Homens,AL,27
2769,2703502,JACUÍPE,Jacuípe,AL,27
2771,2703601,JAPARATINGA,Japaratinga,AL,27
2773,2703700,JARAMATAIA,Jaramataia,AL,27
2775,2703809,JOAQUIM GOMES,Joaquim Gomes,AL,27
2777,2703908,JUNDIÁ,Jundiá,AL,27
2779,2704005,JUNQUEIRO,Junqueiro,AL,27
2781,2704104,LAGOA DA CANOA,Lagoa da Canoa,AL,27
2783,2704203,LIMOEIRO DE ANADIA,Limoeiro de Anadia,AL,27
2785,2704302,MACEIÓ,Maceió,AL,27
2787,2704401,MAJOR ISIDORO,Major Isidoro,AL,27
2789,2704500,MARAGOGI,Maragogi,AL,27
2791,2704609,MARAVILHA,Maravilha,AL,27
2793,2704708,MARECHAL DEODORO,Marechal Deodoro,AL,27
2795,2704807,MARIBONDO,Maribondo,AL,27
2797,2704906,MAR VERMELHO,Mar Vermelho,AL,27
2799,2705002,MATA GRANDE,Mata Grande,AL,27
2801,2705101,MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,AL,27
2803,2705200,MESSIAS,Messias,AL,27
2805,2705309,MINADOR DO NEGRÃO,Minador do Negrão,AL,27
2807,2705408,MONTEIRÓPOLIS,Monteirópolis,AL,27
2809,2705507,MURICI,Murici,AL,27
2811,2705606,NOVO LINO,Novo Lino,AL,27
2813,2705705,OLHO D'ÁGUA DAS FLORES,Olho d'Água das Flores,AL,27
2815,2705804,OLHO D'ÁGUA DO CASADO,Olho d'Água do Casado,AL,27
2817,2705903,OLHO D'ÁGUA GRANDE,Olho d'Água Grande,AL,27
